Question number,New code,Label,Measurement Level
q0001,,"1. Since the introduction of ""social distancing"" measures due to the COVID-19 pandemic, how have each of the following changed for you? ",
q0001_0001,nbr_relation,My relationships with my neighbours,Scale
q0001_0002,sense_commun,Sense of community in my building,Scale
q0001_0003,safe_violence,My safety from theft or violence,Scale
q0001_0004,safe_covid,My safety from COVID-19,Scale
q0002,,,
q0002_0001,food_enough,I have not had enough food to eat.,Scale
q0002_0002,food_access,I have not been able to access food from the store.,Scale
q0002_0003,food_variety,I have not been able to access the variety of healthy food I eat.,Scale
q0002_0004,food_afford,I have been unable to afford enough to eat.,Scale
q0002_0005,food_worry,I worried about not being able to get enough to eat. ,Scale
q0003,covid_info_satis,3. How satisfied are you with the information about COVID-19 provided by Brightside?,Nominal
q0004,covid_brief_satis,4. How satisfied were you with the COVID-19 briefs that were distributed?,Nominal
q0005_0001,maint_suite,In-Suite,Scale
q0005_0001_other,maint_suite_txt,5. Would you like to see more focus on maintenance and improvements in the following areas?,Nominal
q0005_0002,maint_common,Common Areas,Scale
q0005_0002_other,maint_common_txt,5. Would you like to see more focus on maintenance and improvements in the following areas?,Nominal
q0005_0003,maint_amenity,Amenity Rooms,Scale
q0005_0003_other,maint_amenity_txt,5. Would you like to see more focus on maintenance and improvements in the following areas?,Nominal
q0005_0004,maint_exterior,"Exterior (e.g. Ramps, handrails, benches)",Scale
q0005_0004_other,maint_exterior_txt,5. Would you like to see more focus on maintenance and improvements in the following areas?,Nominal
q0005_0005,maint_security,Security,Scale
q0005_0005_other,maint_security_txt,5. Would you like to see more focus on maintenance and improvements in the following areas?,Nominal
q0005_0006,maint_landscape,Landscaping,Scale
q0005_0006_other,maint_landscape_txt,5. Would you like to see more focus on maintenance and improvements in the following areas?,Nominal
q0005_0007,maint_other,Others,Scale
q0005_0007_other,maint_other_txt,5. Would you like to see more focus on maintenance and improvements in the following areas?,Nominal
q0006,house_stable,6. How stable do you feel your current housing situation is?,Nominal
q0006_other,house_stable_txt,Why:,Nominal
