,location,nbr_relation,food_worry,apprch_bside,hlth_happy,chat_often,rlns_safe,age,gender,household,rln_status,work_paid,work_vol,walk_aid,imm_status,bside_dur,bside_pre,bside_pre_muni
0,LONDONDERRY,2,1,2,3,2,4,8,2,1,1,3,3,2,1,2,2,0
1,LIONS VIEW BLDG III,2,1,1,2,5,5,8,1,1,1,1,2,2,0,3,0,0
2,MOUNT PLEASANT,2,1,3,2,2,4,9,1,1,1,3,3,2,1,4,3,1
3,WALLACE WILSON,2,2,1,2,2,2,7,2,1,3,4,3,2,0,2,7,0
4,WALLACE WILSON,3,1,2,2,1,4,8,1,1,1,3,2,1,0,3,2,0
5,WALLACE WILSON,2,1,1,2,2,4,7,1,1,3,3,3,2,1,4,2,1
6,LOYAL ORANGE,2,3,2,2,3,4,8,2,1,1,3,2,2,1,4,2,1
7,KINGS DAUGHTERS,3,2,1,2,2,4,7,1,1,1,4,3,2,1,4,2,1
8,SOROPTIMIST LIONS,2,3,3,3,3,4,8,2,1,3,3,3,2,0,4,2,1
9,SOROPTIMIST LIONS,2,1,1,1,2,5,8,1,0,2,4,3,1,1,4,2,1
10,SOROPTIMIST LIONS,2,3,2,3,1,3,8,1,1,3,4,3,2,1,4,1,1
11,ALICE SAUNDERS,3,1,2,3,2,5,8,1,1,3,3,3,2,1,3,2,1
12,MUIR MANOR,2,1,3,4,1,1,8,1,1,1,4,3,2,1,4,3,1
13,EDWARD BYERS,2,1,2,2,1,4,9,1,1,1,3,1,2,1,4,2,1
14,LOYAL ORANGE,2,1,1,3,3,2,8,2,1,1,3,3,2,1,4,4,1
15,MACLEOD MANOR,2,1,1,1,2,4,8,2,0,3,3,3,1,1,3,3,1
16,MACLEOD MANOR,2,1,3,4,5,3,9,1,1,1,3,3,1,1,3,2,1
17,MACLEOD MANOR,2,3,2,4,4,3,7,0,1,1,4,3,2,1,3,5,1
18,ARBUTUS COURT,3,1,1,2,1,5,8,1,1,1,4,2,2,0,4,2,0
19,COLEOPY PARK,2,1,2,2,3,4,9,1,1,3,3,3,2,0,3,3,1
20,COLEOPY PARK,2,1,1,3,2,3,8,2,1,3,3,3,2,1,2,6,0
21,COLEOPY PARK,2,1,1,2,2,4,8,1,1,1,3,3,1,1,4,2,1
22,LONDONDERRY,2,1,3,3,2,4,7,1,1,4,3,3,2,0,3,3,1
23,LONDONDERRY,2,1,3,3,2,4,8,1,1,3,1,3,2,0,4,1,1
24,LIONS VIEW BLDG I,2,1,3,2,2,4,9,1,1,1,3,3,1,0,4,3,1
25,LIONS VIEW BLDG I,2,1,1,2,1,4,8,1,1,1,3,3,2,1,4,2,1
