RespondentID,newid,collectorid,location,date,nbr_relation,sense_commun,safe_violence,safe_covid,food_enough,food_access,food_variety,food_afford,food_worry,covid_info_satis,covid_brief_satis,maint_suite,maint_suite_txt,maint_common,maint_common_txt,maint_amenity,maint_amenity_txt,maint_exterior,maint_exterior_txt,maint_security,maint_security_txt,maint_landscape,maint_landscape_txt,maint_other,maint_other_txt,house_stable,house_stable_txt,apprch_bside,comm_email,comm_email_adj,comm_phone,comm_phone_adj,comm_note,comm_note_adj,comm_board,comm_board_adj,comm_mail,comm_mail_adj,comm_meet,comm_meet_adj,comm_news,comm_news_adj,comm_reg,comm_news_satisf,depm_admin,depm_oper,depm_account,depm_comdev,depm_res,depm_improve_txt,food_access_last_12,food_worry_last_12,food_health_last_12,food_few_last_12,food_skip_last_12,food_less_last_12,food_empty_last_12,food_hunger_last_12,food_day_last_12,hlth_phys,hlth_mental,hlth_happy,support_medication,support_clean,support_maintenance,support_personal,support_meal,support_grocery,support_na,support_other,support_other_txt,hlth_well,htlh_well_txt,home_dnurse,nome_wnurse,home_outreach,home_food,home_clean,home_none,home_na,home_other,home_other_txt,prgm_garden,prgm_bbq,prgm_party,prgm_fair,prgm_social,prgm_clinic,prgm_none,prgm_na,prgm_other,prgm_other_txt,event_forward,event_inclu,event_easy,event_nbr,event_conv,event_contr,event_connect,event_new,event_satis_yr,event_res_effort,impr_safe,impr_comm_nbr,impr_comm_bside,impr_social,impr_support,impr_none,impr_na,impr_other,impr_other_txt,time_nbr,time_nbr_txt,nbr_relation_better,nbr_relation_priv,nbr_relation_enough,nbr_relation_friend,nbr_relation_notime,nbr_relation_ufr,nbr_relation_not,nbr_relation_na,nbr_relation_other,nbr_relation_other_txt,chat_often,chat_mysuite,chat_nbrsuite,chat_common,chat_garden,chat_city,chat_na,chat_other,chat_other_txt,num_close_friends,ask_borrow,ask_sick,ask_away,ask_child,ask_event,ask_help,ask_none,ask_na,ask_other,ask_other_txt,unsafe_area,unsafe_area_yes,rlns_care,rlns_close,rlns_lonely,rlns_welcome,rlns_space,rlns_conflict,rlns_safe,rlns_safe_obj,age,gender,gender_other_desc,sex,sex_other_desc,household,household_num,num_child,lang_eng,lang_fr,lang_canto,lang_mando,lang_span,lang_rus,lang_viet,lang_hindi,lang_punj,lang_tag,lang_na,lang_other,lang_other_txt,ethn_white,ethn_chn,ethn_sa,ethn_blk,ethn_ph,ethn_la,ethn_sea,ethn_arab,ethn_wa,ethn_jp,ethn_kr,ethn_indig,ethn_na,ethn_other,ethn_other_txt,id_senior,id_ya,id_indig,id_dis,id_substance,id_addict,id_mentalhealth,id_flee_viol,id_vet,id_lgbtq,id_racialized,id_recent_Imm,id_homeless,id_na,rln_status,rln_status_other,rln_support,rln_support_other,work_paid,work_vol,walk_aid,walk_aid_cane,walk_aid_walk,walk_aid_crutch,walk_aid_wlchair,walk_aid_scooter,walk_aid_na,walk_aid_other,walk_aid_other_txt,educ_level,educ_level_other,imm_status,imm_year,bside_dur,bside_pre,bside_pre_other,bside_pre_muni,bside_pre_muni_other,surv_feedback,surv_who,surv_who_other,surv_hear,surv_hear_other
1.10005E+11,5085857,270167554,LONDONDERRY,8/11/2020 19:02,2,2,2,2,1,1,1,1,1,2,2,2,,2,,2,,2,,2,,2,,2,,3,Because of a tenant below me that has made my life miserable and sleep very difficult It's been two years now that this has gone on and if it's not resolved I don't know what I'll doI can't continue indefinitely like this A process of eviction was underway that got interrupted by covid but it took a year to get underway and there was no guarantee it would be successful So the future is uncertain,2,4,0,1,1,3,0,3,0,3,0,1,1,3,0,1,3,3,2,4,3,1,In my particular case taking a year to make a decision to begin an eviction procedure took far too long The tenant's unruly-ness was completely evident the second month of her tenancy but it was 10 more months before action was initiated There needs to be a better method for evaluating tenants suitibility both before and during tenancy I have endured two years of suffering and harassment unnecessarilily in my opinion The lack of a resident building manager means that some alternative method of determining what is actually going on in tenancy conflicts needs to be developed,1,2,2,2,2,2,2,2,2,4,4,3,,,,,,,,1,Don't need anything at the moment,0,Getting more sleep!!!! Tenant below me is up all hours and unnecessarily noisy I've written 60 complaints and she's still there,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,3,3,,,,,,1,,,,1,,1,,,,,,,,,,2,,,1,,,,,,3,,,,,,,1,,,,1,,2,4,4,3,3,1,4,3,8,2,,1,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1, , , , , , , , , , , , , ,1,,3,,3,3,2,,,,,,,,,5,,1,,2,2,,0,Burnaby,,1,,2,
1.10005E+11,5135726,270167553,LIONS VIEW BLDG III,8/19/2020 13:37,2,2,2,3,1,1,1,1,1,1,1,1,I need new blinds it would be nice to upgrade the kitchen and the bathroom They are very very old  A newer fridge and stove they are quite old as well,1,The front lobby carpet should be removed and put ceramic tile we have tenants that don't appreciate where they live and come in with dirty grease boots/shoes We have marks in front of the laundry room in the 2nd floor and the 3rd is terrible It would be nice to have the front face of the building where the street address and Lions III signs are painted and also the underground garage washed  It would also be nice to have the mail box area and the chairs upgraded This a very very nice building to live in just a few touches would be nice,2,I've never been there :),1,The benches in the side of the building would be nice to have them painted it would be nice to sit outside but stuff they've used to preserve it is very dangerous for your body it causes cancer,2,I think is pretty good,1,Just a bit of pruning at the front and side of the building to make it look neat and pretty,2,I can't think of any now :),1,It is with in my means is about $ 10000 too much but I manage the best I can,1,1,1,1,1,5,0,4,0,1,1,1,1,5,0,1,1,5,5,5,5,0,I'm very happy I would like it if the building will be upgraded a little in the points I mentioned before,1,2,2,2,2,2,2,2,2,1,1,2,,,,,,,,1,I do not need assistance at this time,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,3,1,,,,,,,,1,I have not participated in any of them as of yet,1,,3,,,,,,,,,,5,,,,,,,,,4,,,,,,,,1,1,I have friends and relatives outside the building that will help me,1,,3,3,2,5,3,3,5,5,8,1,,1,,1,,1,1,,,,1,,,,,,,1,Italian,1,,,,,1,,,,,,,,,,1, , , , , , , , , , , , , ,1,,0,Friends and family,1,2,2,,,,,,,,,3,,0,From Argentina 1973,3,0,Lived with my partner until the relationship ended 5 years ago,0,Pitt Meadows,I really would like that the building gets a bit of a face left at the front lobby and the carpets on the 2nd&3rd floor Also an upgrade to my suite would be Amazing Thank you!,1,,3,
1.10005E+11,5213106,270167559,MOUNT PLEASANT,8/30/2020 20:26,,2,,0,,,,,,3,2,,,,,1,,,,,,,,,,,,3,,,,,,,5,0,,,,,,,2,2,5,1,5,0,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,3,,1,,,,,,,,1,,,,,1,,,,,,,2,,,,1,,,,,2,,,,,,,,,,,,,4,4,,4,0,4,4,,9,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1, , , , , , , , , , , , , ,1,,2,,3,3,2,,,,,,,,,1,,1,,4,3,,1,,,1,,2,
1.10005E+11,5213123,270167561,WALLACE WILSON,8/30/2020 20:33,2,3,3,3,2,1,3,4,2,1,1,2,,2,,2,,2,,2,,2,,2,,1,,1,3,0,3,0,3,0,1,1,1,1,1,1,1,1,2,2,5,4,5,5,3,,2,2,1,1,2,2,2,2,2,4,5,2,,,,,1,1,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,3,3,,,,,1,,,,,1,,2,1,,,,,1,,,,2,,,,1,,,,,2,,,,,,,1,,,,1,,4,1,5,1,4,3,2,2,7,2,,1,,1,,1,,,,,,,,,,,,1,Korean,,,,,,,,,,,1,,,,, , , ,1, , ,1, , , , , , , ,3,,0,No,4,3,2,,,,,,,,,6,,0,2001,2,7,,0,North Vancouver,,1,,2,
1.10005E+11,5213195,270167561,WALLACE WILSON,8/30/2020 20:50,3,3,2,3,1,2,2,1,1,2,1,2,,,,2,,1,Both sides outside rails and steps on side of building,2,,2,,2,,3,,2,1,1,3,0,5,0,5,0,2,1,3,0,3,0,2,2,5,5,0,5,5,,2,2,2,2,2,2,2,2,2,3,3,2,,,1,,,,,1,Changing lightbulbs,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,3,6,,,,,,,1,,,0,BBQ + Xmas parties,3,1,,,,,,,,,1,,,1,,,,,,4,,,1,,,,,,,,1,,1,2,4,3,4,3,4,4,8,1,,1,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1, , , , , , , , , , , , , ,1,,3,,3,2,1,1,1,,,,,,,2,,0,1966,3,2,,0,Burnaby,I am very thankful for Brightside for making me feel safe in my building during COVID Always updating,1,,1,
1.10005E+11,5213241,270167561,WALLACE WILSON,8/30/2020 21:37,2,2,2,2,1,3,3,1,1,2,2,3,,3,,3,,3,,3,,3,,3,,2,,1,1,1,3,0,3,0,3,0,3,0,3,0,3,0,3,1,5,5,5,5,5,,3,2,2,1,2,2,2,2,2,3,2,2,,,,,,1,,,,1,,,,,,,1,,,,,,1,,,,,,,,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,,,,,2,,1,,,,,,,,,,2,,,1,,,,,,2,,,1,,,,,,,,0,Storage area,4,4,2,4,4,4,4,4,7,1,,5,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1, ,1, , , , , , , , , ,1, ,3,,3,,3,3,2,,,,,,,,,1,,1,,4,2,,1,,,1,,1,
1.10005E+11,5213275,270167555,LOYAL ORANGE,8/30/2020 21:55,2,1,2,1,3,3,4,1,3,1,1,1,,2,,2,,2,,2,,2,,,,4,Relocation-When? Where?,2,1,1,4,0,4,0,4,0,,,,,4,0,2,1,5,5,5,5,0,,1,1,1,1,1,1,2,2,2,3,3,2,,,,,,,,1,None of the above,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,2,2,,,,,,1,,,,1,,3,,,,,1,,,,,3,,,1,,,,,,1,,,,,,,1,,,,1,,2,2,3,3,2,2,4,4,8,2,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Canadian,1, , ,1, , , , , , , , , , ,1,,0,No,3,2,2,,,,,,,,,3,,1,,4,2,,1,,,1,,2,
1.10005E+11,5213320,270167552,KINGS DAUGHTERS,8/30/2020 22:17,3,3,3,3,2,2,2,2,2,1,1,1,Fix bathroom floor,2,,2,,2,,2,,2,,2,,1,,1,1,1,3,0,3,0,,,3,0,2,1,3,0,,1,5,5,5,5,5,N/A,2,2,2,2,2,2,2,2,2,2,2,2,,,1,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,4,4,4,4,4,4,4,4,2,2,1,1,1,1,1,,,,,1,,2,1,,,1,,,,,,2,,,1,1,,,,,4,1,1,1,,1,1,,,,,1,,4,4,2,4,4,4,4,4,7,1,,1,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1, , ,1, , , , , , , , , , ,1,,0,Friends family and etc,4,3,2,,,,,,,,,3,,1,,4,2,,1,,,1,,2,
1.10005E+11,5213373,270167560,SOROPTIMIST LIONS,8/30/2020 22:49,2,2,2,2,2,2,2,3,3,2,2,2,,2,,2,,2,,2,,2,,2,,2,,3,,,,,4,0,4,0,,,,,4,0,2,2,4,4,4,4,3,,2,2,2,1,2,1,2,2,2,3,3,3,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,4,3,4,4,4,3,4,4,2,3,,,1,,,,,,,2,,1,,,,,,,,,,3,,,1,,,,,,3,,1,,,,,,,,,1,,4,4,3,4,4,4,4,4,8,2,,5,,1,,1,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,1, , , , , , , , , , , , , ,3,,2,,3,3,2,,,,,,,,,5,,0,1976,4,2,,1,,,1,,2,
1.10005E+11,5213377,270167560,SOROPTIMIST LIONS,8/30/2020 22:55,2,2,2,2,1,1,1,1,1,1,1,2,,2,,2,,1,Handrails+ramps would be wonderful but access is okay for now,2,,2,,2,,1,,1,1,1,2,1,3,0,3,0,1,1,1,1,1,1,2,1,5,5,5,5,,Can't think of anything at the moment,1,2,2,2,2,2,2,2,2,4,2,1,,,,,,,,1,Fortunately my husband is my main caregiver so I am very well supported,1,,,,,,,1,,1,Fortunately my husband is able to provide all of the above supports,,,,,,,1,,1,Was not well enough to participate maybe this year,,,,,,,,,,,1,1,,,1,,,,,1,,2,,1,,,,,,,,2,,,1,1,,,,,2,1,1,1,,1,1,,,,,1,,5,5,1,5,5,5,5,5,8,1,,1,,0,Just myself+my husband,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1, , , ,1, , , , , , , , , ,2,,2,,4,3,1,1,,,,,,,,5,,1,,4,2,,1,,Just that generally we have made lifelong friends here and even stay friends with those that have moved out,1,,2,
