Question number,,Value,Label
q0001_0001,nbr_relation,0,Prefer not to answer
q0001_0001,nbr_relation,1,Gotten Worse
q0001_0001,nbr_relation,2,No change
q0001_0001,nbr_relation,3,Improved
q0001_0002,sense_commun,0,Prefer not to answer
q0001_0002,sense_commun,1,Gotten Worse
q0001_0002,sense_commun,2,No change
q0001_0002,sense_commun,3,Improved
q0001_0003,safe_violence,0,Prefer not to answer
q0001_0003,safe_violence,1,Gotten Worse
q0001_0003,safe_violence,2,No change
q0001_0003,safe_violence,3,Improved
q0001_0004,safe_covid,0,Prefer not to answer
q0001_0004,safe_covid,1,Gotten Worse
q0001_0004,safe_covid,2,No change
q0001_0004,safe_covid,3,Improved
q0002_0001,food_enough,0,Prefer not to answer
q0002_0001,food_enough,1,Never
q0002_0001,food_enough,2,Not much
q0002_0001,food_enough,3,Sometimes
q0002_0001,food_enough,4,Often
q0002_0001,food_enough,5,All the time
q0002_0002,food_access,0,Prefer not to answer
q0002_0002,food_access,1,Never
q0002_0002,food_access,2,Not much
q0002_0002,food_access,3,Sometimes
q0002_0002,food_access,4,Often
q0002_0002,food_access,5,All the time
q0002_0003,food_variety,0,Prefer not to answer
q0002_0003,food_variety,1,Never
q0002_0003,food_variety,2,Not much
q0002_0003,food_variety,3,Sometimes
q0002_0003,food_variety,4,Often
q0002_0003,food_variety,5,All the time
q0002_0004,food_afford,0,Prefer not to answer
q0002_0004,food_afford,1,Never
q0002_0004,food_afford,2,Not much
q0002_0004,food_afford,3,Sometimes
q0002_0004,food_afford,4,Often
q0002_0004,food_afford,5,All the time
q0002_0005,food_worry,0,Prefer not to answer
q0002_0005,food_worry,1,Never
q0002_0005,food_worry,2,Not much
q0002_0005,food_worry,3,Sometimes
q0002_0005,food_worry,4,Often
q0002_0005,food_worry,5,All the time
q0003,covid_info_satis,1,Very satisfied
q0003,covid_info_satis,2,Satisfied
q0003,covid_info_satis,3,Neither satisfied nor dissatisfied
q0003,covid_info_satis,4,Dissatisfied
q0003,covid_info_satis,5,Very dissatisfied
q0004,covid_brief_satis,1,Very satisfied
q0004,covid_brief_satis,2,Satisfied
q0004,covid_brief_satis,3,Neither satisfied nor dissatisfied
q0004,covid_brief_satis,4,Dissatisfied
q0004,covid_brief_satis,5,Very dissatisfied
q0005_0001,maint_suite,0,Prefer not to answer
q0005_0001,maint_suite,1,Yes
q0005_0001,maint_suite,2,No
q0005_0002,maint_common,0,Prefer not to answer
q0005_0002,maint_common,1,Yes
q0005_0002,maint_common,2,No
q0005_0003,maint_amenity,0,Prefer not to answer
q0005_0003,maint_amenity,1,Yes
q0005_0003,maint_amenity,2,No
q0005_0004,maint_exterior,0,Prefer not to answer
q0005_0004,maint_exterior,1,Yes
q0005_0004,maint_exterior,2,No
q0005_0005,maint_security,0,Prefer not to answer
q0005_0005,maint_security,1,Yes
q0005_0005,maint_security,2,No
q0005_0006,maint_landscape,0,Prefer not to answer
q0005_0006,maint_landscape,1,Yes
q0005_0006,maint_landscape,2,No
q0005_0007,maint_other,0,Prefer not to answer
q0005_0007,maint_other,1,Yes
q0005_0007,maint_other,2,No
q0005_0001_other,maint_suite_txt,Text,Reasoning for yes
q0005_0002_other,maint_common_txt,Text,Reasoning for yes
q0005_0003_other,maint_amenity_txt,Text,Reasoning for yes
q0005_0004_other,maint_exterior_txt,Text,Reasoning for yes
q0005_0005_other,maint_security_txt,Text,Reasoning for yes
q0005_0006_other,maint_landscape_txt,Text,Reasoning for yes
q0005_0007_other,maint_other_txt,Text,Reasoning for yes
q0006,house_stable,1,Very stable
q0006,house_stable,2,Stable
q0006,house_stable,3,Neither stable nor unstable
q0006,house_stable,4,Unstable
q0006,house_stable,5,Very unstable
q0007,apprch_bside,1,Very approachable
q0007,apprch_bside,2,Somewhat approachable
q0007,apprch_bside,3,Neutral
q0007,apprch_bside,4,Less approachable
q0007,apprch_bside,5,Not at all approachable
q0008_0001,comm_email,0,Prefer not to answer
q0008_0001,comm_email,1,Never
q0008_0001,comm_email,2,Not much
q0008_0001,comm_email,3,Sometimes
q0008_0001,comm_email,4,Often
q0008_0001,comm_email,5,All the time
q0008_0002,comm_phone,0,Prefer not to answer
q0008_0002,comm_phone,1,Never
q0008_0002,comm_phone,2,Not much
q0008_0002,comm_phone,3,Sometimes
q0008_0002,comm_phone,4,Often
q0008_0002,comm_phone,5,All the time
q0008_0003,comm_note,0,Prefer not to answer
q0008_0003,comm_note,1,Never
q0008_0003,comm_note,2,Not much
q0008_0003,comm_note,3,Sometimes
q0008_0003,comm_note,4,Often
q0008_0003,comm_note,5,All the time
q0008_0004,comm_board,0,Prefer not to answer
q0008_0004,comm_board,1,Never
q0008_0004,comm_board,2,Not much
q0008_0004,comm_board,3,Sometimes
q0008_0004,comm_board,4,Often
q0008_0004,comm_board,5,All the time
q0008_0005,comm_mail,0,Prefer not to answer
q0008_0005,comm_mail,1,Never
q0008_0005,comm_mail,2,Not much
q0008_0005,comm_mail,3,Sometimes
q0008_0005,comm_mail,4,Often
q0008_0005,comm_mail,5,All the time
q0008_0006,comm_meet,0,Prefer not to answer
q0008_0006,comm_meet,1,Never
q0008_0006,comm_meet,2,Not much
q0008_0006,comm_meet,3,Sometimes
q0008_0006,comm_meet,4,Often
q0008_0006,comm_meet,5,All the time
q0008_0007,comm_news,0,Prefer not to answer
q0008_0007,comm_news,1,Never
q0008_0007,comm_news,2,Not much
q0008_0007,comm_news,3,Sometimes
q0008_0007,comm_news,4,Often
q0008_0007,comm_news,5,All the time
q0009,comm_reg,1,Yes
q0009,comm_reg,2,No
q0009,comm_reg,3,Prefer not to answer
q0010,comm_news_satisf,1,Very satisfied
q0010,comm_news_satisf,2,Satisfied
q0010,comm_news_satisf,3,Neither satisfied nor dissatisfied
q0010,comm_news_satisf,4,Dissatisfied
q0010,comm_news_satisf,5,Very dissatisfied
q0011_0001,depm_admin,0,Prefer not to answer or N/A
q0011_0001,depm_admin,1,Poor
q0011_0001,depm_admin,2,Fair
q0011_0001,depm_admin,3,Average
q0011_0001,depm_admin,4,Good
q0011_0001,depm_admin,5,Excellent
q0011_0002,depm_oper,0,Prefer not to answer or N/A
q0011_0002,depm_oper,1,Poor
q0011_0002,depm_oper,2,Fair
q0011_0002,depm_oper,3,Average
q0011_0002,depm_oper,4,Good
q0011_0002,depm_oper,5,Excellent
q0011_0003,depm_account,0,Prefer not to answer or N/A
q0011_0003,depm_account,1,Poor
q0011_0003,depm_account,2,Fair
q0011_0003,depm_account,3,Average
q0011_0003,depm_account,4,Good
q0011_0003,depm_account,5,Excellent
q0011_0004,depm_comdev,0,Prefer not to answer or N/A
q0011_0004,depm_comdev,1,Poor
q0011_0004,depm_comdev,2,Fair
q0011_0004,depm_comdev,3,Average
q0011_0004,depm_comdev,4,Good
q0011_0004,depm_comdev,5,Excellent
q0011_0005,depm_res,0,Prefer not to answer or N/A
q0011_0005,depm_res,1,Poor
q0011_0005,depm_res,2,Fair
q0011_0005,depm_res,3,Average
q0011_0005,depm_res,4,Good
q0011_0005,depm_res,5,Excellent
q0012,food_access_last_12,1,Never
q0012,food_access_last_12,2,Not much
q0012,food_access_last_12,3,Sometimes
q0012,food_access_last_12,4,Often
q0012,food_access_last_12,5,All the time
q0012,food_access_last_12,6,Prefer not to answer
q0013_0001,food_worry_last_12,1,YES
q0013_0001,food_worry_last_12,2,NO
q0013_0001,food_worry_last_12,3,Prefer not to answer
q0013_0002,food_health_last_12,1,YES
q0013_0002,food_health_last_12,2,NO
q0013_0002,food_health_last_12,3,Prefer not to answer
q0013_0003,food_few_last_12,1,YES
q0013_0003,food_few_last_12,2,NO
q0013_0003,food_few_last_12,3,Prefer not to answer
q0013_0004,food_skip_last_12,1,YES
q0013_0004,food_skip_last_12,2,NO
q0013_0004,food_skip_last_12,3,Prefer not to answer
q0013_0005,food_less_last_12,1,YES
q0013_0005,food_less_last_12,2,NO
q0013_0005,food_less_last_12,3,Prefer not to answer
q0013_0006,food_empty_last_12,1,YES
q0013_0006,food_empty_last_12,2,NO
q0013_0006,food_empty_last_12,3,Prefer not to answer
q0013_0007,food_hunger_last_12,1,YES
q0013_0007,food_hunger_last_12,2,NO
q0013_0007,food_hunger_last_12,3,Prefer not to answer
q0013_0008,food_day_last_12,1,YES
q0013_0008,food_day_last_12,2,NO
q0013_0008,food_day_last_12,3,Prefer not to answer
q0014,hlth_phys,1,Excellent
q0014,hlth_phys,2,Very good
q0014,hlth_phys,3,Good
q0014,hlth_phys,4,Fair
q0014,hlth_phys,5,Poor
q0014,hlth_phys,6,Prefer not to answer
q0015,hlth_mental,1,Excellent
q0015,hlth_mental,2,Very Good
q0015,hlth_mental,3,Good
q0015,hlth_mental,4,Fair
q0015,hlth_mental,5,Poor
q0015,hlth_mental,6,Prefer not to answer
