Nos. of Suites,Building Names,Building Code,Address,Postal Code,No. of Suite Type,Build Year,Resident Profile,BC Housing Registration (required),Pet Friendly ,Amenity room,Lounge,Other,Static Chairs,Movable Chairs,Division,Tables,Appliances ,DVD Player,Microwave,Stove,Fridge,Television,Sink,Comments,Recommended Occupancy,Access,Picture,Type of Flooring,Type of Flooring,Bike Storage,Location,Rent - Lowest Range,Rent - Highest Range,Average Rent,Median Rent,,,,
64,ALICE SAUNDERS,AS,2924 Venables St. ,V5K 4X8,"Bachelor (55), 1BDR (9)",1977,Seniors,FALSE,FALSE,Yes,,Games Room,9,19,1,10,"Sink, Television",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,". Games room has billiards and shuffleboard table.  Stored in Room 119A are 14 stacking chairs, 3x6' tables and 7X3' tables.",20-25,OPEN,Y,C,Carpeting,Y,119A,475.00,779.00,699.50,772.00,,,,
21,ARBUTUS COURT,AC,2085 W. 5th Ave.,V6J 1P8,1BDR (21),1964,"Families, People with Disabilities, Seniors",FALSE,FALSE,No,,,,,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,Y,Parkade,475.00,"1,553.00",886.10,803.00,,,,
16,BURRARD MANOR,BM,2330 Balsam St,V6K 3M8,"Bachelor (15), 1BDR (1)",1967,Seniors,FALSE,FALSE,No,,,,,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,475.00,"1,084.00",747.69,787.50,,,,
36,EDWARD BYERS,EB,1451 E. 12th Ave,V5N 2A1,"Bachelor (35), 1BDR (1)",1962,Seniors,FALSE,FALSE,Yes,,,3,6,1,1,Television,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Round table.  ,7-10,OPEN,Y,C,Carpeting,Y,Room off rear entrance,,,,,,,,
15,FLORENCE MANOR,FM,1325 Burnaby St,V6E 1R2,"Bachelor (4), 1BDR (11)",1954,"Couples, People with Disabilities, Seniors",FALSE,FALSE,No,,,,,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,320.00,"1,741.00",835.93,803.50,,,,
42,GORDON FAHRNI,GF,1630 Barclay St.,V6G 1K1,"Bachelor (34), 1BDR (8)",1969,Seniors,FALSE,FALSE,Yes,Yes,,3,0,1,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Open lounge in main lobby,7-10,OPEN,Y,C,Carpeting,,,320.00,"1,450.00",738.92,784.00,,,,
25,HARWOOD MANOR,HM,1222 Harwood St,V6E 1S2,"Bachelor (16), 1BDR (9)",1960,"Families, People with Disabilities, Seniors",FALSE,FALSE,No,,,,,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,Y,Parkade,482.00,"1,471.00",778.92,786.00,,,,
29,KINGS DAUGHTERS,KD,1401 E. 11th Ave.,V5N 1Y6,"Bachelor (21), 1BDR (7), Handicap (1)",1972,"Deaf/Hard of Hearing, Seniors",FALSE,FALSE,Yes,,Games Room,,28,1,7,Sink /Television,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Small 4 seater round table, desk with chair. Games room includes billiards, shuffleboard, darts, free weights and bike room.  One small card table in room. 9 Resin chairs in rear yard.  7 orange stacking chairs and 7 orange folding chairs and 4x6' resin tables stored in lower storage room next to Lavatory.  5 orange stacking chairs in Rec room with 2 small wooden games tables.",10-15,OPEN,Y,C,Carpeting,Y,Lower Rec Room,303.00,"1,259.00",614.07,560.00,,,,
35,LIONS VIEW BLDG III,LV III,2975 Horley St.,V5R 4S2,"1BDR (27), 2BDR (7)",1995,Seniors,FALSE,FALSE,Yes,,Workshop,,,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Workshop filled with tenant items / furniture,0,LOCK,Y,V,Vinyl,,,475.00,"1,112.00",807.06,816.00,,,,
22,LONDONDERRY,LDY,5550 Yew St.,V6M 3Y1,"1BDR (21), 2BDR (1)",1957,"Families, People with Disabilities, Seniors",FALSE,FALSE,No,,,,,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,Y,Laundry Room,475.00,"1,125.00",795.81,844.00,,,,
21,LOYAL ORANGE,LO,1425 E. 12th Ave.,V5N 2A1,"Bachelor (16), 1BDR (5)",1971,Seniors,FALSE,FALSE,Yes,,,4,7,1,1,Sink / Television,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Round table.  Television set.,5-7,OPEN,Y,C,Carpeting,,,,,,,,,,
17,MAGNOLO MANOR,MAG,2675 Alder St.,V6H 2S2,"1BDR (15), 2BDR (2) ",1959,"Families, People with Disabilities, Seniors",FALSE,FALSE,No,,,,,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,Y,Laundry Room,475.00,"1,056.00",903.88,886.00,,,,
46,MACLEOD MANOR,ML,8725 French St.,V6P 4W9,"Bachelor (10), 1BDR (35), 2BDR (1)",N/A,"Families, People with Disabilities, Seniors",FALSE,FALSE,No,,Lobby,,12,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Large lobby with lockable office for chairs / table.  10 newfolding chairs in office, 2 lobby chairs with coffee table in lobby. 1x4' resin table in lobby office.",7-10,OPEN,Y,T,Carpetingeramic Tile,Y,Laundry Room,475.00,"1,048.00",835.59,860.50,,,,
31,MORELAND KENNEDY,MK,2495 W. 3rd Ave.,V6K 1L9,"Bachelor (20), 1BDR (11)",1974,Seniors,FALSE,FALSE,Yes,,,6,8,1,2,Sink / Television,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"1x6' table, 1 dining room table",8-10,OPEN,Y,C,Carpeting,Y,Rear Parking Storage Room,500.00,"1,442.00",860.26,812.00,,,,
36,MOUNT PLEASANT,MP,325 E. 6th Ave,V5T 1J9,"Bachelor (34), 1BDR (2)",N/A,Seniors,FALSE,FALSE,Yes,,,,,1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Lower level recreation room - storage for Lions Club, enclusive use till December 31, 2018.",0,,,V,Vinyl,,,410.00,"1,259.00",601.00,526.00,,,,
25,SOROPTIMIST LIONS,SL,1444 E. 13th Ave.,V5N 2B6,"Bachelor (19), 1BDR (6)",1971,Seniors,FALSE,FALSE,Yes,,,4,3,1,1,Sink / Television,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,8-10,OPEN,Y,C,Carpeting,Y,Rear Parking Shed,475.00,"1,150.00",753.12,772.00,,,,
41,WALLACE WILSON,WW,1620 E. 6th Ave.,V5N 1P3,"Bachelor (40), 1BDR (1)",1965,Seniors,FALSE,FALSE,No,Yes,,5,,1,1,Snk / Television,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Four white resin chairs in rear yard.,8-10,OPEN,Y,C,Carpeting,,Under Construction,475.00,"1,108.00",651.75,716.00,,,,
